patent_id,year,sent,keyword,sent_id
11100072,2021,"with such a configuration, in the learned model, a node with an error larger than that of the node in a higher level is deleted, so that the data amount can be compressed without affecting the prediction accuracy.",prediction accuracy,28415
7885998,2011,"in a hospital setting, the health care provider can generally call for a consultation from another health care provider with little difficulty.",health care,4705
11433854,2022,"if the time sequence of the values of the beacon ids of the beacons transmitted by a data carrier is stored in the receiving access control device or in the access control system, it can according to an enhancement be checked if the beacon ids of two successive beacons of a data carrier correspond to the known time sequence of the values of the beacon ids.",access control,36063
8374687,2013,an erp is a brief change in the brain's electrical potential in response to critical events in the environment.,the environment,7194
9931753,2018,"the functions may include, responsive to determining both the modified first set of operation criteria and the second set of operation criteria, determining whether the respective gaits includes a given gait that enables the robotic device to move in the environment at the given velocity according to the modified first set of operation criteria and the second set of operation criteria.",the environment,16309
10192171,2019,"in an aspect, a driver that is not currently in an elevated emotional state may be proximate other drivers who are operating their vehicle, or vehicles, erratically because they are agitated, or otherwise in an elevated emotional state, such as: angry, upset, distracted by elation, etc.",emotional state,16949
20100017356,2010,mda “navigates” over the mass spectra data pool and by using the leave-one-out cross validation can spot possible sections within the mass spectrum data to search for biomarkers.,cross validation,43642
10948210,2021,"in accordance with yet another embodiment, a system and method for a multi-story premise to feed-back the hot air from upstairs to the downstairs system during winters and cold air from downstairs to the upstairs system during summer, thereby lowering energy consumption and improving comfort.",energy consumption,25756
20210357737,2021,"to outperform a gpu, a special-purpose neural-network accelerator should have significantly lower energy consumption than a gpu since the performance of modern gpus is limited by on-chip power, which in turn is limited by the heatsink.",energy consumption,72258
20190027132,2019,"according to an aspect of this disclosure, the step of selecting, by a decision apparatus in the device, humorous behavior based on the hidden state change sequence of the emotional state hmm, and consolidating a humorous behavior instruction and the standard instruction to obtain a final output instruction includes: receiving, by a humorous behavior selection unit in the decision apparatus in the device, the hidden state change sequence of the emotional state hmm, performing probability analysis on the received hidden state change sequence of the emotional state hmm, selecting the humorous behavior, and outputting the humorous behavior instruction to a consolidation unit in the decision apparatus; and receiving, by the consolidation unit, the humorous behavior instruction and the standard instruction, and consolidating the humorous behavior instruction and the standard instruction to obtain the final output instruction.",emotional state,58344
20070109119,2007,"the mobile sensors or the sensor carriers can be equipped with geographical location determination devices (e.g., the global positioning system or gps) so that they can map the environmental data collected to geographical locations.",the environment,40474
